,Method_name,sim25Sub001,sim25Sub002,sim25Sub003,sim25Sub004,sim25Sub005,sim25Sub006,sim25Sub007,sim25Sub008,sim25Sub009,sim25Sub010,sim25Sub011,sim25Sub012,sim25Sub013,sim25Sub014,sim25Sub015,sim25Sub016,sim25Sub017,sim25Sub018,sim25Sub019,sim25Sub020,sim25Sub021,sim25Sub022,sim25Sub023,sim25Sub024,sim25Sub025,sim25Sub026,sim25Sub027,sim25Sub028,sim25Sub029,sim25Sub030,sim25Sub031,sim25Sub032,sim25Sub033,sim25Sub034,sim25Sub035,sim25Sub036,sim25Sub037,sim25Sub038,sim25Sub039,sim25Sub040,sim25Sub041,sim25Sub042,sim25Sub043,sim25Sub044,sim25Sub045,sim25Sub046,sim25Sub047,sim25Sub048,sim25Sub049,sim25Sub050
1,Af,0.88,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.88,0.84,0.8,0.84,0.84,0.8,0.84,0.84,0.84,0.8,0.84,0.8,0.8,0.84,0.84,0.8,0.8
2,AS,0.8,0.84,0.8,0.8,0.84,0.8,0.8,0.84,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.88,0.8,0.8,0.84,0.8,0.84,0.84,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.88,0.8,0.8,0.8,0.8,0.84,0.8,0.84,0.92,0.8,0.84,0.8,0.84,0.8,0.84,0.84,0.8
3,BCohF,0.76,0.84,0.84,0.84,0.92,0.92,0.84,0.84,0.84,0.92,0.92,0.84,0.84,0.76,0.92,0.84,0.84,0.76,0.92,0.76,0.76,0.84,0.84,0.92,0.76,0.92,0.92,0.92,0.84,0.84,0.84,0.84,0.92,0.92,0.84,0.84,0.84,0.92,0.76,0.92,0.84,0.92,0.76,0.92,0.76,0.76,0.84,0.84,0.76,0.84
4,BCohW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BCorrD,0.84,0.84,0.8,0.84,0.8,0.84,0.84,0.84,0.8,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.88,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.88,0.84,0.84,0.84,0.84,0.84,0.88,0.88,0.8,0.84,0.88,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.88,0.84,0.84,0.84
6,BCorrU,0.84,1,0.84,0.84,0.76,1,0.84,0.92,0.76,0.92,0.92,0.68,0.84,0.84,0.92,0.68,0.84,0.76,0.92,0.76,0.84,0.92,0.76,0.84,0.76,0.84,1,0.92,0.92,0.84,0.84,0.84,1,0.92,0.84,0.68,0.84,0.84,0.76,0.84,0.84,0.92,0.84,0.84,0.76,0.76,0.76,0.76,0.76,0.76
7,BH2D,0.8,0.84,0.8,0.8,0.84,0.8,0.8,0.84,0.84,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.88,0.88,0.8,0.84,0.8,0.84,0.8,0.8
8,BH2U,0.84,0.92,0.92,0.76,0.68,0.6,0.76,0.92,0.68,0.68,0.92,0.68,0.68,0.84,0.84,0.6,0.84,0.92,0.6,0.76,0.76,0.76,0.68,0.6,0.76,0.76,1,0.6,0.84,0.76,0.68,0.92,0.76,0.84,0.68,0.6,0.76,0.76,0.6,0.84,0.68,0.84,0.76,0.84,0.84,0.76,0.84,0.76,0.68,0.84
9,BMITD1,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.84,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.84,0.84,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.84,0.8
10,BMITD2,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.84,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.84,0.8
