,Method_name,Median_across_patients
1,Af,0.7595
2,AS,0.77425
3,BCohF,0.852
4,BCohW,0
5,BCorrD,0.8175
6,BCorrU,0.84
7,BH2D,0.7715
8,BH2U,0.752
9,BMITD1,0.7595
10,BMITD2,0.75275
11,BMITU,0.684
12,BTED,0.7625
13,BTEU,0.765
14,COH1,0.774
15,COH2,0.756
16,DC1,0.764
17,dDTF,0.78375
18,DTF,0.76875
19,ffDTF,0.76175
20,Genie,0.81175
21,GGC,0.74975
22,GPDC,0.758
23,hmvar,0.755
24,MVAR,0.767
25,oPDCF,0.761
26,pCOH1,0.77
27,pCOH2,0.77
28,PCohF,0.862
29,PCohW,0
30,PCorrD,0.8235
31,PCorrU,0.738
32,PDC,0.7535
33,PH2D,0.76175
34,PH2U,0.73
35,PMITD1,0.75275
36,PMITD2,0.75275
37,PMITU,0.674
38,PTED,0.76075
39,PTEU,0.7685
40,Smvar,0.76
41,Tigress,0.92375
