,Method_name,Median_across_patients
1,Af,0.71875
2,AS,0.72125
3,BCohF,0.933333333333334
4,BCohW,0
5,BCorrD,0.8225
6,BCorrU,0.893333333333334
7,BH2D,0.72875
8,BH2U,0.766666666666666
9,BMITD1,0.72
10,BMITD2,0.7225
11,BMITU,0.68
12,BTED,0.7175
13,BTEU,0.74
14,COH1,0.84
15,COH2,0.76
16,DC1,0.70875
17,dDTF,0.7525
18,DTF,0.705
19,ffDTF,0.70375
20,Genie,0.8325
21,GGC,0.6875
22,GPDC,0.725
23,hmvar,0.7
24,MVAR,0.71125
25,oPDCF,0.7225
26,pCOH1,0.76
27,pCOH2,0.76
28,PCohF,0.933333333333334
29,PCohW,0
30,PCorrD,0.83625
31,PCorrU,0.743333333333333
32,PDC,0.7175
33,PH2D,0.71125
34,PH2U,0.736666666666667
35,PMITD1,0.72
36,PMITD2,0.71875
37,PMITU,0.69
38,PTED,0.725
39,PTEU,0.74875
40,Smvar,0.763333333333333
41,Tigress,0.96375
