,Method_name,Median_across_patients
1,BCohF,0.928888888888889
2,BCorrU,0.911111111111111
3,BF_BCmean,0.924444444444444
4,BF_BCmedian,0.924444444444444
5,BF_PF_BCmean,0.924444444444444
6,BF_PF_BCmedian,0.924444444444444
7,BF_PFmean,0.924444444444444
8,BF_PFmedian,0.924444444444444
9,PCohF,0.928888888888889
10,PF_BCmean,0.924444444444444
11,PF_BCmedian,0.924444444444444
12,T_BCmean,0.96
13,T_BCmedian,0.96
14,T_BF_BCmean,0.96
15,T_BF_BCmedian,0.951111111111111
16,T_BF_PF_BCmean,0.96
17,T_BF_PF_BCmedian,0.942222222222222
18,T_BF_PFmean,0.96
19,T_BF_PFmedian,0.928888888888889
20,T_BFmean,0.96
21,T_BFmedian,0.96
22,T_PF_BCmean,0.96
23,T_PF_BCmedian,0.955555555555556
24,T_PFmean,0.962222222222222
25,T_PFmedian,0.955555555555556
26,Tigress,0.957777777777778
