,Method_name,Median_across_patients
1,Af,0.7445
2,AS,0.75325
3,BCohF,0.926
4,BCohW,0
5,BCorrD,0.81875
6,BCorrU,0.854
7,BH2D,0.7855
8,BH2U,0.842
9,BMITD1,0.7935
10,BMITD2,0.7935
11,BMITU,0.794
12,BTED,0.755
13,BTEU,0.813
14,COH1,0.856
15,COH2,0.856
16,DC1,0.763
17,dDTF,0.836
18,DTF,0.7505
19,ffDTF,0.74525
20,Genie,0.83325
21,GGC,0.68225
22,GPDC,0.772
23,hmvar,0.73825
24,MVAR,0.752
25,oPDCF,0.75425
26,pCOH1,0.93
27,pCOH2,0.93
28,PCohF,0.936
29,PCohW,0
30,PCorrD,0.78175
31,PCorrU,0.714
32,PDC,0.7595
33,PH2D,0.76025
34,PH2U,0.666
35,PMITD1,0.819
36,PMITD2,0.8265
37,PMITU,0.928
38,PTED,0.77425
39,PTEU,0.786
40,Smvar,0.744
41,Tigress,0.96675
