,Method_name,Median_across_patients
1,Af,0.72
2,AS,0.7225
3,BCohF,0.933333333333334
4,BCohW,0
5,BCorrD,0.8375
6,BCorrU,0.92
7,BH2D,0.73375
8,BH2U,0.77
9,BMITD1,0.7225
10,BMITD2,0.72625
11,BMITU,0.68
12,BTED,0.72125
13,BTEU,0.74875
14,COH1,0.84
15,COH2,0.763333333333333
16,DC1,0.72375
17,dDTF,0.7625
18,DTF,0.7125
19,ffDTF,0.70375
20,Genie,0.83375
21,GGC,0.69125
22,GPDC,0.72625
23,hmvar,0.70625
24,MVAR,0.70875
25,oPDCF,0.72
26,pCOH1,0.773333333333333
27,pCOH2,0.773333333333333
28,PCohF,0.936666666666667
29,PCohW,0
30,PCorrD,0.84625
31,PCorrU,0.746666666666666
32,PDC,0.7225
33,PH2D,0.73
34,PH2U,0.736666666666667
35,PMITD1,0.72375
36,PMITD2,0.72
37,PMITU,0.693333333333333
38,PTED,0.73
39,PTEU,0.75
40,Smvar,0.766666666666667
41,Tigress,0.965
