,sim25Sub001,sim25Sub002,sim25Sub003,sim25Sub004,sim25Sub005,sim25Sub006,sim25Sub007,sim25Sub008,sim25Sub009,sim25Sub010,sim25Sub011,sim25Sub012,sim25Sub013,sim25Sub014,sim25Sub015,sim25Sub016,sim25Sub017,sim25Sub018,sim25Sub019,sim25Sub020,sim25Sub021,sim25Sub022,sim25Sub023,sim25Sub024,sim25Sub025,sim25Sub026,sim25Sub027,sim25Sub028,sim25Sub029,sim25Sub030,sim25Sub031,sim25Sub032,sim25Sub033,sim25Sub034,sim25Sub035,sim25Sub036,sim25Sub037,sim25Sub038,sim25Sub039,sim25Sub040,sim25Sub041,sim25Sub042,sim25Sub043,sim25Sub044,sim25Sub045,sim25Sub046,sim25Sub047,sim25Sub048,sim25Sub049,sim25Sub050
1,0.768,0.864,0.832,0.832,0.92,0.912,0.848,0.856,0.84,0.92,0.928,0.824,0.856,0.748,0.92,0.824,0.852,0.784,0.932,0.776,0.76,0.848,0.848,0.904,0.768,0.928,0.936,0.92,0.84,0.864,0.844,0.86,0.928,0.928,0.816,0.84,0.856,0.936,0.76,0.904,0.856,0.92,0.752,0.928,0.776,0.76,0.856,0.852,0.788,0.84
2,0.836,1,0.816,0.84,0.76,1,0.84,0.916,0.76,0.912,0.936,0.656,0.852,0.812,0.904,0.68,0.848,0.784,0.928,0.744,0.84,0.912,0.756,0.852,0.752,0.828,1,0.936,0.912,0.836,0.856,0.864,1,0.936,0.844,0.676,0.848,0.856,0.776,0.848,0.808,0.92,0.836,0.828,0.776,0.744,0.784,0.744,0.744,0.76
3,0.813,0.846,0.801,0.816,0.8115,0.852,0.822,0.834,0.7775,0.834,0.84,0.774,0.828,0.783,0.822,0.792,0.8235,0.822,0.852,0.801,0.807,0.828,0.807,0.834,0.804,0.825,0.846,0.8385,0.828,0.816,0.825,0.84,0.852,0.846,0.7745,0.81,0.813,0.84,0.801,0.822,0.804,0.852,0.807,0.822,0.81,0.798,0.834,0.795,0.798,0.804
4,0.7625,0.8295,0.795,0.822,0.7775,0.822,0.81,0.822,0.7505,0.834,0.822,0.768,0.828,0.7775,0.84,0.789,0.813,0.798,0.81,0.792,0.7655,0.828,0.762,0.7445,0.792,0.828,0.831,0.816,0.81,0.7925,0.816,0.822,0.852,0.828,0.804,0.81,0.813,0.7685,0.774,0.78,0.81,0.777,0.816,0.81,0.822,0.7265,0.819,0.795,0.822,0.816
5,0.813,0.84,0.804,0.807,0.8175,0.846,0.831,0.84,0.7805,0.834,0.84,0.786,0.834,0.78,0.822,0.798,0.828,0.822,0.852,0.804,0.807,0.831,0.819,0.831,0.804,0.828,0.846,0.834,0.825,0.828,0.828,0.84,0.852,0.84,0.7745,0.81,0.816,0.846,0.798,0.822,0.816,0.843,0.798,0.834,0.81,0.804,0.834,0.816,0.804,0.804
6,0.7385,0.813,0.798,0.816,0.822,0.819,0.81,0.834,0.8295,0.7925,0.825,0.795,0.825,0.7565,0.852,0.813,0.816,0.804,0.81,0.78,0.7625,0.822,0.7385,0.78,0.7745,0.837,0.822,0.834,0.813,0.828,0.7625,0.822,0.846,0.816,0.783,0.822,0.804,0.828,0.7265,0.786,0.804,0.792,0.813,0.822,0.834,0.7565,0.822,0.81,0.828,0.834
7,0.7745,0.834,0.822,0.81,0.834,0.8295,0.834,0.831,0.7865,0.84,0.834,0.81,0.831,0.795,0.7985,0.81,0.7985,0.819,0.84,0.804,0.798,0.828,0.822,0.822,0.804,0.84,0.846,0.834,0.816,0.84,0.822,0.837,0.84,0.84,0.7685,0.819,0.825,0.846,0.7685,0.822,0.828,0.84,0.792,0.834,0.804,0.804,0.828,0.831,0.816,0.831
8,0.7385,0.804,0.807,0.816,0.816,0.822,0.81,0.84,0.8295,0.828,0.822,0.798,0.834,0.7565,0.8165,0.819,0.7865,0.804,0.81,0.78,0.7685,0.831,0.7415,0.78,0.81,0.84,0.822,0.834,0.816,0.84,0.7625,0.822,0.846,0.816,0.774,0.828,0.804,0.822,0.7265,0.78,0.81,0.795,0.807,0.816,0.84,0.7535,0.825,0.807,0.828,0.834
9,0.772,0.856,0.868,0.832,0.916,0.912,0.936,0.92,0.84,0.928,0.928,0.832,0.928,0.752,0.912,0.84,0.856,0.848,0.932,0.764,0.76,0.92,0.848,0.904,0.768,0.928,1,0.92,0.864,0.928,0.84,0.928,0.928,0.86,0.824,0.868,0.848,0.936,0.76,0.904,0.856,0.868,0.752,0.856,0.768,0.76,0.928,0.928,0.848,0.856
10,0.81,0.852,0.804,0.816,0.8115,0.852,0.828,0.834,0.7775,0.834,0.84,0.777,0.834,0.792,0.822,0.792,0.822,0.816,0.852,0.792,0.801,0.828,0.807,0.825,0.798,0.822,0.852,0.8415,0.828,0.825,0.822,0.84,0.852,0.846,0.7835,0.804,0.81,0.843,0.801,0.825,0.795,0.843,0.807,0.822,0.8085,0.804,0.834,0.804,0.798,0.804
