,Method_name,Median_across_patients
1,Af,0.73325
2,AS,0.7265
3,BCohF,0.768
4,BCohW,0
5,BCorrD,0.79875
6,BCorrU,0.764
7,BH2D,0.769
8,BH2U,0.75
9,BMITD1,0.79875
10,BMITD2,0.80025
11,BMITU,0.764
12,BTED,0.7555
13,BTEU,0.77125
14,COH1,0.784
15,COH2,0.78
16,DC1,0.7595
17,dDTF,0.79375
18,DTF,0.73625
19,ffDTF,0.74225
20,Genie,0.778
21,GGC,0.71375
22,GPDC,0.74975
23,hmvar,0.725
24,MVAR,0.72725
25,oPDCF,0.73325
26,pCOH1,0.91
27,pCOH2,0.91
28,PCohF,0.852
29,PCohW,0
30,PCorrD,0.80025
31,PCorrU,0.776
32,PDC,0.73325
33,PH2D,0.75875
34,PH2U,0.72
35,PMITD1,0.7985
36,PMITD2,0.7895
37,PMITU,0.8
38,PTED,0.75275
39,PTEU,0.7595
40,Smvar,0.706
41,Tigress,0.84375
