,Method_name,Median_across_patients
1,Af,0.7415
2,AS,0.7445
3,BCohF,1
4,BCohW,0
5,BCorrD,0.8475
6,BCorrU,1
7,BH2D,0.76
8,BH2U,0.828
9,BMITD1,0.75875
10,BMITD2,0.758
11,BMITU,0.68
12,BTED,0.75725
13,BTEU,0.78625
14,COH1,0.936
15,COH2,0.912
16,DC1,0.752
17,dDTF,0.7955
18,DTF,0.74525
19,ffDTF,0.7475
20,Genie,0.846
21,GGC,0.73475
22,GPDC,0.751
23,hmvar,0.746
24,MVAR,0.74075
25,oPDCF,0.74275
26,pCOH1,0.928
27,pCOH2,0.928
28,PCohF,1
29,PCohW,0
30,PCorrD,0.849
31,PCorrU,0.752
32,PDC,0.7425
33,PH2D,0.76325
34,PH2U,0.742
35,PMITD1,0.76025
36,PMITD2,0.7565
37,PMITU,0.716
38,PTED,0.76325
39,PTEU,0.787
40,Smvar,0.85
41,Tigress,0.963
