,Method_name,Median_across_patients
1,Af,0.7
2,AS,0.70125
3,BCohF,1
4,BCohW,0
5,BCorrD,0.8525
6,BCorrU,1
7,BH2D,0.7275
8,BH2U,0.82
9,BMITD1,0.7275
10,BMITD2,0.72
11,BMITU,0.68
12,BTED,0.72625
13,BTEU,0.76125
14,COH1,0.946666666666667
15,COH2,0.906666666666667
16,DC1,0.71875
17,dDTF,0.78625
18,DTF,0.7
19,ffDTF,0.70375
20,Genie,0.85
21,GGC,0.69125
22,GPDC,0.71625
23,hmvar,0.71
24,MVAR,0.70125
25,oPDCF,0.69375
26,pCOH1,0.933333333333334
27,pCOH2,0.933333333333334
28,PCohF,1
29,PCohW,0
30,PCorrD,0.855
31,PCorrU,0.746666666666666
32,PDC,0.695
33,PH2D,0.73625
34,PH2U,0.73
35,PMITD1,0.7275
36,PMITD2,0.72625
37,PMITU,0.713333333333333
38,PTED,0.73875
39,PTEU,0.765
40,Smvar,0.856666666666667
41,Tigress,0.965
