,Method_name,Median_across_patients
1,Af,0.715
2,AS,0.7225
3,BCohF,0.87
4,BCohW,0
5,BCorrD,0.81
6,BCorrU,0.853333333333333
7,BH2D,0.7475
8,BH2U,0.783333333333333
9,BMITD1,0.72
10,BMITD2,0.72125
11,BMITU,0.71
12,BTED,0.73375
13,BTEU,0.73
14,COH1,0.786666666666667
15,COH2,0.753333333333334
16,DC1,0.72875
17,dDTF,0.755
18,DTF,0.72125
19,ffDTF,0.72125
20,Genie,0.80375
21,GGC,0.69125
22,GPDC,0.7275
23,hmvar,0.7225
24,MVAR,0.7225
25,oPDCF,0.7125
26,pCOH1,0.76
27,pCOH2,0.76
28,PCohF,0.906666666666667
29,PCohW,0
30,PCorrD,0.82
31,PCorrU,0.72
32,PDC,0.71
33,PH2D,0.72375
34,PH2U,0.74
35,PMITD1,0.725
36,PMITD2,0.71625
37,PMITU,0.683333333333333
38,PTED,0.72625
39,PTEU,0.72875
40,Smvar,0.76
41,Tigress,0.935
