,Method_name,sim13Sub001,sim13Sub002,sim13Sub003,sim13Sub004,sim13Sub005,sim13Sub006,sim13Sub007,sim13Sub008,sim13Sub009,sim13Sub010,sim13Sub011,sim13Sub012,sim13Sub013,sim13Sub014,sim13Sub015,sim13Sub016,sim13Sub017,sim13Sub018,sim13Sub019,sim13Sub020,sim13Sub021,sim13Sub022,sim13Sub023,sim13Sub024,sim13Sub025,sim13Sub026,sim13Sub027,sim13Sub028,sim13Sub029,sim13Sub030,sim13Sub031,sim13Sub032,sim13Sub033,sim13Sub034,sim13Sub035,sim13Sub036,sim13Sub037,sim13Sub038,sim13Sub039,sim13Sub040,sim13Sub041,sim13Sub042,sim13Sub043,sim13Sub044,sim13Sub045,sim13Sub046,sim13Sub047,sim13Sub048,sim13Sub049,sim13Sub050
23,hmvar,0.68,0.72,0.68,0.72,0.8,0.72,0.68,0.76,0.8,0.72,0.76,0.76,0.72,0.8,0.72,0.76,0.72,0.76,0.72,0.76,0.72,0.72,0.8,0.68,0.76,0.72,0.72,0.68,0.76,0.68,0.76,0.68,0.8,0.84,0.76,0.72,0.8,0.76,0.76,0.76,0.76,0.72,0.76,0.72,0.76,0.68,0.76,0.84,0.72,0.76
24,MVAR,0.68,0.72,0.72,0.72,0.76,0.68,0.68,0.72,0.84,0.8,0.8,0.76,0.72,0.76,0.72,0.68,0.72,0.76,0.76,0.76,0.72,0.76,0.8,0.72,0.76,0.72,0.76,0.72,0.72,0.8,0.72,0.68,0.72,0.84,0.76,0.8,0.8,0.68,0.76,0.76,0.76,0.68,0.76,0.72,0.76,0.68,0.68,0.76,0.72,0.76
25,oPDCF,0.68,0.76,0.68,0.72,0.76,0.76,0.68,0.8,0.8,0.8,0.72,0.76,0.68,0.76,0.72,0.72,0.76,0.76,0.72,0.76,0.72,0.72,0.8,0.68,0.76,0.68,0.76,0.68,0.72,0.76,0.72,0.68,0.76,0.8,0.72,0.72,0.76,0.72,0.76,0.76,0.76,0.72,0.76,0.76,0.76,0.76,0.68,0.76,0.72,0.76
26,pCOH1,0.68,0.76,0.68,0.76,0.76,0.84,0.84,0.76,0.76,0.76,0.68,0.84,0.76,0.76,0.68,0.92,0.84,0.76,0.92,0.84,0.76,0.68,0.84,0.76,0.68,0.68,0.68,0.6,0.84,0.68,0.68,0.76,0.84,0.84,0.84,0.76,0.76,0.84,0.76,0.92,0.76,0.76,0.84,0.76,0.76,0.76,0.84,0.92,0.76,0.84
27,pCOH2,0.68,0.76,0.68,0.76,0.76,0.84,0.84,0.76,0.76,0.76,0.68,0.84,0.76,0.76,0.68,0.92,0.84,0.76,0.92,0.84,0.76,0.68,0.84,0.76,0.68,0.68,0.68,0.6,0.84,0.68,0.68,0.76,0.84,0.84,0.84,0.76,0.76,0.84,0.76,0.92,0.76,0.76,0.84,0.76,0.76,0.76,0.84,0.92,0.76,0.84
28,PCohF,0.84,0.92,0.84,0.92,0.76,0.76,0.92,0.84,0.92,1,0.76,0.92,0.84,0.84,0.92,0.92,0.92,0.84,1,0.84,0.76,0.76,0.76,1,0.76,0.68,0.92,0.84,1,0.68,0.68,0.84,0.84,0.84,0.84,0.76,0.76,0.84,0.92,1,0.84,0.84,0.92,0.92,0.92,0.76,0.84,1,1,1
29,PCohW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,PCorrD,0.8,0.76,0.72,0.84,0.84,0.72,0.8,0.8,0.8,0.84,0.76,0.84,0.8,0.76,0.84,0.8,0.88,0.8,0.8,0.84,0.68,0.76,0.84,0.72,0.84,0.8,0.84,0.68,0.84,0.68,0.76,0.8,0.88,0.84,0.76,0.76,0.84,0.72,0.8,0.88,0.72,0.88,0.76,0.76,0.84,0.72,0.68,0.84,0.88,0.8
31,PCorrU,0.68,0.68,0.68,0.68,0.76,0.6,0.76,0.76,0.76,0.76,0.68,0.76,0.84,0.92,0.76,0.68,0.76,0.76,0.76,0.76,0.68,0.68,0.76,0.76,0.76,0.68,0.68,0.68,0.76,0.76,0.68,0.68,0.76,0.92,0.68,0.68,0.68,0.68,0.84,0.76,0.76,0.84,0.76,0.76,0.76,0.6,0.76,0.76,0.76,0.76
32,PDC,0.68,0.76,0.68,0.72,0.8,0.76,0.68,0.76,0.8,0.8,0.72,0.76,0.68,0.76,0.72,0.72,0.8,0.76,0.72,0.76,0.72,0.72,0.8,0.72,0.76,0.68,0.76,0.68,0.72,0.76,0.76,0.68,0.76,0.8,0.76,0.72,0.76,0.72,0.76,0.76,0.72,0.68,0.76,0.72,0.8,0.72,0.68,0.76,0.72,0.76
33,PH2D,0.68,0.76,0.72,0.76,0.76,0.68,0.72,0.72,0.76,0.8,0.76,0.76,0.72,0.84,0.76,0.72,0.68,0.8,0.72,0.8,0.68,0.68,0.8,0.76,0.76,0.72,0.76,0.68,0.76,0.72,0.72,0.72,0.8,0.76,0.76,0.8,0.76,0.72,0.84,0.72,0.72,0.72,0.8,0.76,0.76,0.72,0.76,0.76,0.68,0.76
34,PH2U,0.68,0.84,0.76,0.68,0.76,0.68,0.68,0.68,0.68,0.76,0.6,0.76,0.76,0.76,0.76,0.68,0.68,0.76,0.68,0.68,0.68,0.68,0.76,0.68,0.68,0.76,0.76,0.68,0.84,0.68,0.76,0.68,0.68,0.76,0.76,0.68,0.68,0.76,0.68,0.76,0.6,0.84,0.68,0.76,0.76,0.68,0.6,0.84,0.76,0.76
35,PMITD1,0.68,0.72,0.76,0.88,0.72,0.88,0.68,0.72,0.76,0.8,0.76,0.8,0.72,0.76,0.76,0.76,0.72,0.76,0.72,0.8,0.76,0.76,0.8,0.72,0.84,0.72,0.76,0.68,0.76,0.72,0.72,0.76,0.72,0.76,0.72,0.72,0.76,0.8,0.8,0.8,0.72,0.68,0.8,0.72,0.76,0.76,0.8,0.76,0.72,0.8
36,PMITD2,0.68,0.72,0.76,0.92,0.72,0.88,0.68,0.72,0.76,0.84,0.76,0.8,0.68,0.76,0.76,0.76,0.72,0.76,0.72,0.8,0.76,0.72,0.8,0.72,0.84,0.68,0.8,0.72,0.76,0.72,0.76,0.68,0.72,0.76,0.72,0.72,0.76,0.84,0.8,0.88,0.68,0.68,0.8,0.72,0.76,0.76,0.72,0.76,0.72,0.76
37,PMITU,0.68,0.6,0.76,0.84,0.68,0.84,0.76,0.76,0.68,0.84,0.68,0.68,0.68,0.68,0.76,0.76,0.76,0.76,0.68,0.68,0.68,0.68,0.92,0.68,0.92,0.76,0.76,0.76,0.84,0.76,0.76,0.76,0.68,0.76,0.6,0.6,0.76,0.92,0.84,0.84,0.68,0.6,0.76,0.84,0.68,0.76,0.84,0.68,0.76,0.76
38,PTED,0.72,0.84,0.8,0.72,0.72,0.76,0.72,0.72,0.76,0.76,0.72,0.76,0.76,0.76,0.76,0.76,0.72,0.76,0.72,0.76,0.76,0.72,0.76,0.88,0.76,0.68,0.76,0.68,0.8,0.68,0.76,0.72,0.76,0.88,0.76,0.72,0.8,0.72,0.8,0.88,0.8,0.76,0.76,0.76,0.76,0.68,0.72,0.8,0.72,0.76
39,PTEU,0.76,0.88,0.76,0.72,0.68,0.84,0.84,0.76,0.8,0.8,0.72,0.8,0.84,0.8,0.76,0.76,0.76,0.76,0.72,0.76,0.84,0.76,0.76,0.92,0.76,0.68,0.76,0.68,0.88,0.68,0.76,0.72,0.8,0.84,0.8,0.72,0.84,0.68,0.76,0.8,0.76,0.76,0.8,0.76,0.8,0.72,0.68,0.84,0.68,0.84
40,Smvar,0.68,0.76,0.84,0.76,0.76,0.76,0.76,0.84,0.84,0.76,0.76,0.84,0.84,0.84,0.76,0.84,0.76,0.84,0.84,0.68,0.68,0.68,0.76,0.68,0.76,0.68,0.76,0.68,0.84,0.68,0.68,0.68,0.76,0.92,0.76,0.76,0.68,0.76,0.68,0.76,0.76,0.84,0.68,0.76,0.76,0.76,0.76,0.76,0.76,0.84
41,Tigress,0.8,0.76,0.76,0.84,0.76,0.76,0.88,0.8,0.8,0.88,0.84,0.92,0.8,0.88,0.88,0.8,0.8,0.92,0.88,0.88,0.8,0.76,0.92,0.8,0.88,0.84,0.8,0.72,0.88,0.76,0.76,0.84,0.84,0.84,0.8,0.84,0.84,0.72,0.96,0.8,0.76,0.84,0.92,0.84,0.92,0.76,0.72,0.92,0.84,0.92
