,Method_name,Median_across_patients
1,BCohF,0.786666666666667
2,BCorrU,0.773333333333333
3,BF_BCmean,0.72
4,BF_BCmedian,0.7125
5,BF_PF_BCmean,0.77
6,BF_PF_BCmedian,0.7175
7,BF_PFmean,0.775
8,BF_PFmedian,0.74
9,PCohF,0.866666666666667
10,PF_BCmean,0.7725
11,PF_BCmedian,0.74
12,T_BCmean,0.84
13,T_BCmedian,0.835
14,T_BF_BCmean,0.8375
15,T_BF_BCmedian,0.7325
16,T_BF_PF_BCmean,0.8125
17,T_BF_PF_BCmedian,0.7575
18,T_BF_PFmean,0.8225
19,T_BF_PFmedian,0.7725
20,T_BFmean,0.84
21,T_BFmedian,0.83
22,T_PF_BCmean,0.82
23,T_PF_BCmedian,0.775
24,T_PFmean,0.83
25,T_PFmedian,0.815
26,Tigress,0.84
