,Method_name,Median_across_patients
1,Af,0.74075
2,AS,0.71525
3,BCohF,0.856
4,BCohW,0
5,BCorrD,0.828
6,BCorrU,0.856
7,BH2D,0.7745
8,BH2U,0.85
9,BMITD1,0.7745
10,BMITD2,0.7805
11,BMITU,0.752
12,BTED,0.75925
13,BTEU,0.78
14,COH1,0.854
15,COH2,0.828
16,DC1,0.76925
17,dDTF,0.78875
18,DTF,0.7325
19,ffDTF,0.734
20,Genie,0.8145
21,GGC,0.689
22,GPDC,0.7705
23,hmvar,0.7235
24,MVAR,0.72275
25,oPDCF,0.72875
26,pCOH1,0.918
27,pCOH2,0.918
28,PCohF,1
29,PCohW,0
30,PCorrD,0.849
31,PCorrU,0.92
32,PDC,0.72725
33,PH2D,0.7825
34,PH2U,0.836
35,PMITD1,0.81
36,PMITD2,0.80775
37,PMITU,0.798
38,PTED,0.76175
39,PTEU,0.783
40,Smvar,0.76
41,Tigress,0.96
