,Method_name,Median_across_patients
1,Af,0.58
2,AS,0.5125
3,BCohF,0.893333333333333
4,BCohW,0
5,BCorrD,0.8
6,BCorrU,0.893333333333333
7,BH2D,0.7025
8,BH2U,0.866666666666667
9,BMITD1,0.695
10,BMITD2,0.7025
11,BMITU,0.733333333333333
12,BTED,0.64
13,BTEU,0.6425
14,COH1,0.886666666666666
15,COH2,0.813333333333333
16,DC1,0.6575
17,dDTF,0.725
18,DTF,0.5725
19,ffDTF,0.5775
20,Genie,0.7675
21,GGC,0.43
22,GPDC,0.67
23,hmvar,0.545
24,MVAR,0.5425
25,oPDCF,0.555
26,pCOH1,0.92
27,pCOH2,0.92
28,PCohF,1
29,PCohW,0
30,PCorrD,0.87
31,PCorrU,0.92
32,PDC,0.5575
33,PH2D,0.72
34,PH2U,0.826666666666667
35,PMITD1,0.74
36,PMITD2,0.7375
37,PMITU,0.786666666666667
38,PTED,0.6575
39,PTEU,0.66
40,Smvar,0.76
41,Tigress,0.9625
