,Method_name,Median_across_patients
1,BCohF,0.9692
2,BCorrU,0.9624
3,BF_BCmean,0.976
4,BF_BCmedian,0.976
5,BF_PF_BCmean,0.976
6,BF_PF_BCmedian,0.976
7,BF_PFmean,0.976
8,BF_PFmedian,0.976
9,PCohF,0.9672
10,PF_BCmean,0.976
11,PF_BCmedian,0.976
12,T_BCmean,0.9868
13,T_BCmedian,0.9862
14,T_BF_BCmean,0.9868
15,T_BF_BCmedian,0.9836
16,T_BF_PF_BCmean,0.9866
17,T_BF_PF_BCmedian,0.9808
18,T_BF_PFmean,0.9864
19,T_BF_PFmedian,0.9768
20,T_BFmean,0.9866
21,T_BFmedian,0.9862
22,T_PF_BCmean,0.9868
23,T_PF_BCmedian,0.9852
24,T_PFmean,0.9862
25,T_PFmedian,0.986
26,Tigress,0.986
