,Method_name,Median_across_patients
1,BCohF,0.946666666666667
2,BCorrU,0.92
3,BF_BCmean,0.835
4,BF_BCmedian,0.755
5,BF_PF_BCmean,0.84
6,BF_PF_BCmedian,0.755
7,BF_PFmean,0.84
8,BF_PFmedian,0.76
9,PCohF,0.953333333333333
10,PF_BCmean,0.84
11,PF_BCmedian,0.755
12,T_BCmean,0.97
13,T_BCmedian,0.97
14,T_BF_BCmean,0.9725
15,T_BF_BCmedian,0.945
16,T_BF_PF_BCmean,0.98
17,T_BF_PF_BCmedian,0.9175
18,T_BF_PFmean,0.9775
19,T_BF_PFmedian,0.7975
20,T_BFmean,0.9775
21,T_BFmedian,0.97
22,T_PF_BCmean,0.9725
23,T_PF_BCmedian,0.95
24,T_PFmean,0.975
25,T_PFmedian,0.97
26,Tigress,0.97
