,Method_name,sim9Sub001,sim9Sub002,sim9Sub003,sim9Sub004,sim9Sub005,sim9Sub006,sim9Sub007,sim9Sub008,sim9Sub009,sim9Sub010,sim9Sub011,sim9Sub012,sim9Sub013,sim9Sub014,sim9Sub015,sim9Sub016,sim9Sub017,sim9Sub018,sim9Sub019,sim9Sub020,sim9Sub021,sim9Sub022,sim9Sub023,sim9Sub024,sim9Sub025,sim9Sub026,sim9Sub027,sim9Sub028,sim9Sub029,sim9Sub030,sim9Sub031,sim9Sub032,sim9Sub033,sim9Sub034,sim9Sub035,sim9Sub036,sim9Sub037,sim9Sub038,sim9Sub039,sim9Sub040,sim9Sub041,sim9Sub042,sim9Sub043,sim9Sub044,sim9Sub045,sim9Sub046,sim9Sub047,sim9Sub048,sim9Sub049,sim9Sub050
1,Af,0.8,0.8,0.84,0.8,0.8,0.88,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.84,0.8,0.8,0.84,0.84,0.8,0.84,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.84,0.84,0.84,0.84,0.88
2,AS,0.8,0.8,0.92,0.8,0.8,0.92,0.84,0.8,0.84,0.84,0.84,0.8,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.88,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.84,0.8,0.8,0.8,0.88,0.8,0.84
3,BCohF,0.84,0.92,1,0.92,0.84,0.84,0.92,0.84,0.76,0.92,0.84,0.92,1,1,0.92,0.76,0.92,0.84,0.92,0.92,0.92,0.84,0.92,1,0.92,0.84,1,1,0.92,0.92,0.84,0.92,0.84,0.76,0.92,0.84,0.92,0.92,1,0.92,0.76,0.92,0.76,0.92,0.92,0.92,0.84,0.92,1,0.84
4,BCohW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BCorrD,0.8,0.8,0.84,0.84,0.84,0.84,0.84,0.8,0.8,0.84,0.8,0.84,0.84,0.84,0.84,0.8,0.8,0.84,0.84,0.84,0.84,0.84,0.88,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.8,0.84,0.8,0.84,0.84,0.84,0.8,0.8,0.84,0.84,0.8,0.88,0.84,0.84,0.84,0.84,0.8
6,BCorrU,0.84,0.92,1,0.92,0.84,0.84,0.92,0.92,0.76,0.92,0.84,0.92,1,1,0.92,0.76,0.92,0.84,0.92,0.92,0.92,0.84,0.92,1,0.92,0.92,1,1,0.92,0.92,0.92,0.92,0.84,0.76,0.92,0.84,0.92,1,1,0.92,0.76,0.92,0.84,0.92,0.92,0.92,0.84,0.92,1,0.84
7,BH2D,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.84,0.8,0.8,0.84,0.8,0.8,0.8,0.84,0.8,0.8,0.8,0.88,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.88,0.84,0.8,0.8,0.84,0.84,0.8,0.8,0.8,0.8,0.84,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.84
8,BH2U,0.76,0.84,0.84,0.84,0.92,0.76,0.92,0.92,0.76,0.84,0.76,0.76,1,0.92,0.84,0.68,0.84,0.84,0.92,0.84,0.76,0.92,0.92,0.92,0.92,0.92,1,0.92,0.76,0.76,0.68,0.76,0.68,0.84,0.92,0.76,0.76,0.92,0.92,0.84,0.76,0.84,0.76,0.84,0.84,1,0.76,0.84,0.84,0.76
9,BMITD1,0.8,0.84,0.84,0.84,0.84,0.8,0.8,0.84,0.8,0.8,0.84,0.84,0.8,0.84,0.8,0.8,0.84,0.8,0.8,0.84,0.8,0.84,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8,0.84,0.84,0.84,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.84,0.84,0.8,0.8
10,BMITD2,0.8,0.84,0.84,0.84,0.84,0.8,0.8,0.84,0.8,0.8,0.84,0.84,0.8,0.84,0.8,0.8,0.84,0.8,0.8,0.8,0.8,0.84,0.84,0.84,0.8,0.8,0.8,0.84,0.8,0.84,0.8,0.8,0.84,0.84,0.84,0.8,0.84,0.8,0.84,0.8,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.8,0.8
