,Method_name,Median_across_patients
1,Af,0.74225
2,AS,0.75125
3,BCohF,0.92
4,BCohW,0
5,BCorrD,0.834
6,BCorrU,0.92
7,BH2D,0.749
8,BH2U,0.842
9,BMITD1,0.77225
10,BMITD2,0.77275
11,BMITU,0.688
12,BTED,0.76175
13,BTEU,0.80625
14,COH1,0.924
15,COH2,0.86
16,DC1,0.76475
17,dDTF,0.81525
18,DTF,0.746
19,ffDTF,0.7415
20,Genie,0.834
21,GGC,0.72125
22,GPDC,0.7675
23,hmvar,0.73975
24,MVAR,0.75425
25,oPDCF,0.74225
26,pCOH1,0.93
27,pCOH2,0.93
28,PCohF,0.928
29,PCohW,0
30,PCorrD,0.8475
31,PCorrU,0.756
32,PDC,0.74
33,PH2D,0.77
34,PH2U,0.748
35,PMITD1,0.78025
36,PMITD2,0.7785
37,PMITU,0.742
38,PTED,0.76825
39,PTEU,0.81525
40,Smvar,0.802
41,Tigress,0.926
