,Method_name,Median_across_patients
1,Af,0.73775
2,AS,0.743
3,BCohF,0.934
4,BCohW,0
5,BCorrD,0.82425
6,BCorrU,0.86
7,BH2D,0.7895
8,BH2U,0.844
9,BMITD1,0.78875
10,BMITD2,0.7915
11,BMITU,0.834
12,BTED,0.731
13,BTEU,0.79725
14,COH1,0.91
15,COH2,0.868
16,DC1,0.758
17,dDTF,0.82875
18,DTF,0.74
19,ffDTF,0.752
20,Genie,0.84
21,GGC,0.67475
22,GPDC,0.7565
23,hmvar,0.7325
24,MVAR,0.746
25,oPDCF,0.7385
26,pCOH1,0.932
27,pCOH2,0.932
28,PCohF,0.936
29,PCohW,0
30,PCorrD,0.7715
31,PCorrU,0.73
32,PDC,0.74375
33,PH2D,0.7655
34,PH2U,0.664
35,PMITD1,0.80825
36,PMITD2,0.806
37,PMITU,0.936
38,PTED,0.767
39,PTEU,0.78625
40,Smvar,0.744
41,Tigress,0.96675
