,Method_name,Median_across_patients
1,Af,0.74
2,AS,0.73025
3,BCohF,0.854
4,BCohW,0
5,BCorrD,0.81975
6,BCorrU,0.848
7,BH2D,0.77575
8,BH2U,0.84
9,BMITD1,0.8055
10,BMITD2,0.8085
11,BMITU,0.764
12,BTED,0.7625
13,BTEU,0.78175
14,COH1,0.852
15,COH2,0.836
16,DC1,0.761
17,dDTF,0.798
18,DTF,0.74425
19,ffDTF,0.742
20,Genie,0.8045
21,GGC,0.71375
22,GPDC,0.75725
23,hmvar,0.73775
24,MVAR,0.73025
25,oPDCF,0.73925
26,pCOH1,0.92
27,pCOH2,0.92
28,PCohF,1
29,PCohW,0
30,PCorrD,0.83775
31,PCorrU,0.928
32,PDC,0.74075
33,PH2D,0.76825
34,PH2U,0.832
35,PMITD1,0.82275
36,PMITD2,0.81625
37,PMITU,0.849
38,PTED,0.7655
39,PTEU,0.77125
40,Smvar,0.74
41,Tigress,0.89275
