,Method_name,Median_across_patients
1,Af,0.74225
2,AS,0.74
3,BCohF,0.856
4,BCohW,0
5,BCorrD,0.8235
6,BCorrU,0.85
7,BH2D,0.7615
8,BH2U,0.764
9,BMITD1,0.75425
10,BMITD2,0.7585
11,BMITU,0.682
12,BTED,0.7655
13,BTEU,0.77275
14,COH1,0.832
15,COH2,0.754
16,DC1,0.746
17,dDTF,0.7775
18,DTF,0.743
19,ffDTF,0.7445
20,Genie,0.816
21,GGC,0.72425
22,GPDC,0.743
23,hmvar,0.73925
24,MVAR,0.7385
25,oPDCF,0.73025
26,pCOH1,0.816
27,pCOH2,0.816
28,PCohF,0.916
29,PCohW,0
30,PCorrD,0.84
31,PCorrU,0.754
32,PDC,0.73625
33,PH2D,0.76025
34,PH2U,0.752
35,PMITD1,0.76175
36,PMITD2,0.7625
37,PMITU,0.68
38,PTED,0.7565
39,PTEU,0.7725
40,Smvar,0.768
41,Tigress,0.906
