,Method_name,Median_across_patients
1,Af,0.70375
2,AS,0.7
3,BCohF,0.866666666666666
4,BCohW,0
5,BCorrD,0.81625
6,BCorrU,0.856666666666667
7,BH2D,0.73375
8,BH2U,0.766666666666666
9,BMITD1,0.71875
10,BMITD2,0.7225
11,BMITU,0.68
12,BTED,0.725
13,BTEU,0.7375
14,COH1,0.826666666666666
15,COH2,0.75
16,DC1,0.71
17,dDTF,0.755
18,DTF,0.705
19,ffDTF,0.7075
20,Genie,0.8075
21,GGC,0.67375
22,GPDC,0.7025
23,hmvar,0.6975
24,MVAR,0.6975
25,oPDCF,0.68375
26,pCOH1,0.8
27,pCOH2,0.8
28,PCohF,0.913333333333333
29,PCohW,0
30,PCorrD,0.83875
31,PCorrU,0.75
32,PDC,0.69375
33,PH2D,0.73375
34,PH2U,0.746666666666666
35,PMITD1,0.72875
36,PMITD2,0.7375
37,PMITU,0.68
38,PTED,0.72125
39,PTEU,0.73
40,Smvar,0.773333333333333
41,Tigress,0.91
