,Method_name,Median_across_patients
1,BCohF,0.924
2,BCorrU,0.914
3,BF_BCmean,0.83625
4,BF_BCmedian,0.81
5,BF_PF_BCmean,0.84
6,BF_PF_BCmedian,0.8115
7,BF_PFmean,0.84
8,BF_PFmedian,0.813
9,PCohF,0.928
10,PF_BCmean,0.8385
11,PF_BCmedian,0.804
12,T_BCmean,0.966
13,T_BCmedian,0.966
14,T_BF_BCmean,0.966
15,T_BF_BCmedian,0.93125
16,T_BF_PF_BCmean,0.966
17,T_BF_PF_BCmedian,0.914
18,T_BF_PFmean,0.966
19,T_BF_PFmedian,0.83025
20,T_BFmean,0.966
21,T_BFmedian,0.966
22,T_PF_BCmean,0.96525
23,T_PF_BCmedian,0.93275
24,T_PFmean,0.966
25,T_PFmedian,0.966
26,Tigress,0.963
