,Method_name,Median_across_patients
1,Af,0.6425
2,AS,0.6675
3,BCohF,1
4,BCohW,0
5,BCorrD,0.8675
6,BCorrU,1
7,BH2D,0.6675
8,BH2U,0.866666666666667
9,BMITD1,0.6425
10,BMITD2,0.6475
11,BMITU,0.706666666666667
12,BTED,0.645
13,BTEU,0.7525
14,COH1,1
15,COH2,0.986666666666667
16,DC1,0.6525
17,dDTF,0.81
18,DTF,0.63
19,ffDTF,0.62
20,Genie,0.8575
21,GGC,0.58
22,GPDC,0.645
23,hmvar,0.6325
24,MVAR,0.66
25,oPDCF,0.645
26,pCOH1,1
27,pCOH2,1
28,PCohF,1
29,PCohW,0
30,PCorrD,0.87
31,PCorrU,0.76
32,PDC,0.655
33,PH2D,0.6475
34,PH2U,0.713333333333333
35,PMITD1,0.6775
36,PMITD2,0.6625
37,PMITU,0.7
38,PTED,0.68
39,PTEU,0.76
40,Smvar,0.866666666666667
41,Tigress,0.98
