,Method_name,Median_across_patients
1,Af,0.75725
2,AS,0.769
3,BCohF,1
4,BCohW,0
5,BCorrD,0.84825
6,BCorrU,1
7,BH2D,0.76375
8,BH2U,0.852
9,BMITD1,0.7565
10,BMITD2,0.76175
11,BMITU,0.694
12,BTED,0.76475
13,BTEU,0.81375
14,COH1,1
15,COH2,0.94
16,DC1,0.76025
17,dDTF,0.831
18,DTF,0.752
19,ffDTF,0.7475
20,Genie,0.8445
21,GGC,0.734
22,GPDC,0.76175
23,hmvar,0.76075
24,MVAR,0.76025
25,oPDCF,0.755
26,pCOH1,1
27,pCOH2,1
28,PCohF,1
29,PCohW,0
30,PCorrD,0.849
31,PCorrU,0.76
32,PDC,0.758
33,PH2D,0.7565
34,PH2U,0.744
35,PMITD1,0.7685
36,PMITD2,0.76925
37,PMITU,0.691
38,PTED,0.7795
39,PTEU,0.816
40,Smvar,0.848
41,Tigress,0.966
