,Method_name,Median_across_patients
1,Af,0.761
2,AS,0.76175
3,BCohF,0.932
4,BCohW,0
5,BCorrD,0.84
6,BCorrU,0.93
7,BH2D,0.75175
8,BH2U,0.778
9,BMITD1,0.758
10,BMITD2,0.75575
11,BMITU,0.684
12,BTED,0.757
13,BTEU,0.76525
14,COH1,0.89
15,COH2,0.782
16,DC1,0.7655
17,dDTF,0.7975
18,DTF,0.76325
19,ffDTF,0.7645
20,Genie,0.8385
21,GGC,0.74125
22,GPDC,0.773
23,hmvar,0.764
24,MVAR,0.758
25,oPDCF,0.7565
26,pCOH1,0.84
27,pCOH2,0.84
28,PCohF,0.936
29,PCohW,0
30,PCorrD,0.846
31,PCorrU,0.826
32,PDC,0.75725
33,PH2D,0.7535
34,PH2U,0.752
35,PMITD1,0.76375
36,PMITD2,0.7595
37,PMITU,0.686
38,PTED,0.748
39,PTEU,0.76825
40,Smvar,0.78
41,Tigress,0.963
