,Method_name,Median_across_patients
1,Af,0.7325
2,AS,0.73125
3,BCohF,0.94
4,BCohW,0
5,BCorrD,0.84
6,BCorrU,0.936666666666667
7,BH2D,0.71375
8,BH2U,0.79
9,BMITD1,0.7275
10,BMITD2,0.7225
11,BMITU,0.683333333333333
12,BTED,0.71375
13,BTEU,0.72875
14,COH1,0.896666666666667
15,COH2,0.796666666666667
16,DC1,0.74125
17,dDTF,0.77625
18,DTF,0.73125
19,ffDTF,0.73625
20,Genie,0.8375
21,GGC,0.69875
22,GPDC,0.74
23,hmvar,0.73125
24,MVAR,0.7275
25,oPDCF,0.72375
26,pCOH1,0.84
27,pCOH2,0.84
28,PCohF,0.946666666666667
29,PCohW,0
30,PCorrD,0.85
31,PCorrU,0.816666666666667
32,PDC,0.72375
33,PH2D,0.72
34,PH2U,0.746666666666666
35,PMITD1,0.7275
36,PMITD2,0.725
37,PMITU,0.683333333333333
38,PTED,0.70875
39,PTEU,0.72625
40,Smvar,0.793333333333333
41,Tigress,0.965
