,Method_name,sim11Sub001,sim11Sub002,sim11Sub003,sim11Sub004,sim11Sub005,sim11Sub006,sim11Sub007,sim11Sub008,sim11Sub009,sim11Sub010,sim11Sub011,sim11Sub012,sim11Sub013,sim11Sub014,sim11Sub015,sim11Sub016,sim11Sub017,sim11Sub018,sim11Sub019,sim11Sub020,sim11Sub021,sim11Sub022,sim11Sub023,sim11Sub024,sim11Sub025,sim11Sub026,sim11Sub027,sim11Sub028,sim11Sub029,sim11Sub030,sim11Sub031,sim11Sub032,sim11Sub033,sim11Sub034,sim11Sub035,sim11Sub036,sim11Sub037,sim11Sub038,sim11Sub039,sim11Sub040,sim11Sub041,sim11Sub042,sim11Sub043,sim11Sub044,sim11Sub045,sim11Sub046,sim11Sub047,sim11Sub048,sim11Sub049,sim11Sub050
1,Af,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.9,0.89,0.91,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
2,AS,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
3,BCohF,0.86,0.84,0.84,0.84,0.8,0.82,0.8,0.84,0.86,0.8,0.8,0.82,0.8,0.8,0.86,0.84,0.9,0.86,0.8,0.82,0.84,0.86,0.84,0.86,0.86,0.82,0.88,0.86,0.82,0.86,0.82,0.82,0.82,0.84,0.86,0.8,0.82,0.84,0.8,0.82,0.82,0.8,0.8,0.86,0.86,0.8,0.8,0.82,0.82,0.86
4,BCohW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BCorrD,0.89,0.9,0.89,0.9,0.9,0.89,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.9,0.9,0.89,0.9,0.89,0.9,0.89,0.89,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.89
6,BCorrU,0.84,0.82,0.86,0.82,0.8,0.78,0.8,0.8,0.84,0.78,0.8,0.86,0.8,0.84,0.84,0.8,0.88,0.82,0.82,0.84,0.88,0.84,0.8,0.82,0.84,0.84,0.86,0.88,0.82,0.84,0.84,0.8,0.82,0.84,0.82,0.8,0.84,0.82,0.82,0.8,0.82,0.78,0.82,0.82,0.84,0.8,0.8,0.86,0.82,0.86
7,BH2D,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.89,0.91,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89
8,BH2U,0.84,0.8,0.78,0.78,0.78,0.78,0.8,0.8,0.78,0.82,0.78,0.78,0.8,0.82,0.8,0.78,0.82,0.78,0.78,0.78,0.86,0.78,0.8,0.8,0.82,0.78,0.8,0.8,0.82,0.78,0.78,0.8,0.78,0.78,0.78,0.78,0.8,0.8,0.78,0.78,0.8,0.8,0.8,0.78,0.78,0.8,0.78,0.82,0.8,0.78
9,BMITD1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.91,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.89,0.89
10,BMITD2,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
