,Method_name,Median_across_patients
1,Af,0.72125
2,AS,0.7325
3,BCohF,0.926666666666667
4,BCohW,0
5,BCorrD,0.8375
6,BCorrU,0.91
7,BH2D,0.73375
8,BH2U,0.77
9,BMITD1,0.7175
10,BMITD2,0.7175
11,BMITU,0.676666666666667
12,BTED,0.71125
13,BTEU,0.735
14,COH1,0.85
15,COH2,0.753333333333334
16,DC1,0.71625
17,dDTF,0.77875
18,DTF,0.73375
19,ffDTF,0.73125
20,Genie,0.8325
21,GGC,0.7125
22,GPDC,0.71
23,hmvar,0.74125
24,MVAR,0.73125
25,oPDCF,0.71875
26,pCOH1,0.786666666666666
27,pCOH2,0.786666666666666
28,PCohF,0.933333333333334
29,PCohW,0
30,PCorrD,0.85
31,PCorrU,0.76
32,PDC,0.72125
33,PH2D,0.72625
34,PH2U,0.74
35,PMITD1,0.725
36,PMITD2,0.725
37,PMITU,0.686666666666667
38,PTED,0.715
39,PTEU,0.74875
40,Smvar,0.773333333333333
41,Tigress,0.965
