,Method_name,sim14Sub001,sim14Sub002,sim14Sub003,sim14Sub004,sim14Sub005,sim14Sub006,sim14Sub007,sim14Sub008,sim14Sub009,sim14Sub010,sim14Sub011,sim14Sub012,sim14Sub013,sim14Sub014,sim14Sub015,sim14Sub016,sim14Sub017,sim14Sub018,sim14Sub019,sim14Sub020,sim14Sub021,sim14Sub022,sim14Sub023,sim14Sub024,sim14Sub025,sim14Sub026,sim14Sub027,sim14Sub028,sim14Sub029,sim14Sub030,sim14Sub031,sim14Sub032,sim14Sub033,sim14Sub034,sim14Sub035,sim14Sub036,sim14Sub037,sim14Sub038,sim14Sub039,sim14Sub040,sim14Sub041,sim14Sub042,sim14Sub043,sim14Sub044,sim14Sub045,sim14Sub046,sim14Sub047,sim14Sub048,sim14Sub049,sim14Sub050
1,Af,0.695,0.67,0.525,0.7,0.665,0.605,0.53,0.535,0.61,0.485,0.76,0.66,0.52,0.535,0.61,0.635,0.53,0.6,0.595,0.585,0.595,0.67,0.745,0.78,0.615,0.71,0.695,0.72,0.56,0.62,0.685,0.64,0.53,0.7,0.605,0.51,0.605,0.59,0.52,0.67,0.615,0.585,0.63,0.61,0.76,0.695,0.655,0.64,0.67,0.705
2,AS,0.485,0.57,0.6,0.625,0.65,0.525,0.525,0.62,0.85,0.565,0.755,0.775,0.58,0.52,0.56,0.615,0.605,0.625,0.62,0.58,0.73,0.65,0.61,0.62,0.495,0.605,0.72,0.655,0.62,0.64,0.75,0.56,0.57,0.615,0.55,0.64,0.56,0.58,0.73,0.635,0.655,0.56,0.76,0.6,0.745,0.625,0.66,0.695,0.67,0.695
3,BCohF,1,1,0.893333333333333,0.973333333333333,0.933333333333333,1,0.92,0.92,0.946666666666667,0.973333333333333,1,1,0.866666666666667,0.973333333333333,0.933333333333333,1,0.866666666666667,1,0.92,0.893333333333333,0.786666666666667,0.92,0.973333333333333,0.973333333333333,0.866666666666667,1,0.866666666666667,1,1,0.84,0.96,0.96,0.933333333333333,0.866666666666667,0.946666666666667,1,0.973333333333333,0.893333333333333,0.946666666666667,0.946666666666667,0.946666666666667,0.946666666666667,1,0.92,0.786666666666667,0.893333333333333,1,0.866666666666667,0.946666666666667,0.986666666666667
4,BCohW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BCorrD,0.9,0.86,0.805,0.81,0.75,0.895,0.8,0.715,0.725,0.86,0.9,0.83,0.835,0.805,0.825,0.84,0.8,0.805,0.8,0.845,0.71,0.76,0.81,0.89,0.745,0.88,0.815,0.86,0.83,0.655,0.885,0.89,0.75,0.815,0.88,0.85,0.795,0.86,0.88,0.885,0.785,0.805,0.91,0.835,0.73,0.855,0.8,0.825,0.845,0.87
6,BCorrU,1,1,0.893333333333333,0.72,0.92,1,0.906666666666667,0.68,0.773333333333333,0.973333333333333,1,1,0.84,0.946666666666667,1,0.96,0.84,0.933333333333333,0.893333333333333,0.973333333333333,0.893333333333333,0.946666666666667,0.88,1,0.853333333333333,1,0.893333333333333,0.92,0.946666666666667,0.76,0.973333333333333,1,0.706666666666667,0.893333333333333,0.906666666666667,0.906666666666667,0.893333333333333,0.933333333333333,1,1,0.946666666666667,0.84,1,0.88,0.8,0.906666666666667,0.906666666666667,0.92,0.96,0.946666666666667
7,BH2D,0.785,0.75,0.62,0.635,0.575,0.695,0.58,0.665,0.68,0.57,0.715,0.72,0.69,0.715,0.585,0.66,0.71,0.615,0.66,0.74,0.545,0.575,0.725,0.7,0.67,0.82,0.565,0.79,0.66,0.66,0.7,0.525,0.655,0.62,0.565,0.67,0.69,0.655,0.765,0.71,0.725,0.685,0.53,0.565,0.685,0.73,0.625,0.57,0.675,0.65
8,BH2U,0.746666666666667,0.84,0.92,0.72,0.893333333333333,0.826666666666667,0.666666666666667,0.573333333333333,0.84,0.586666666666667,0.626666666666667,0.853333333333333,0.52,0.853333333333333,0.613333333333333,0.613333333333333,0.826666666666667,0.946666666666667,0.826666666666667,0.72,0.76,0.693333333333333,0.88,0.706666666666667,0.68,0.866666666666667,0.866666666666667,1,0.746666666666667,0.813333333333333,0.76,0.88,0.733333333333333,0.733333333333333,0.6,0.88,0.706666666666667,0.893333333333333,0.84,0.76,0.853333333333333,0.76,0.866666666666667,0.64,0.84,0.933333333333333,0.413333333333333,0.786666666666667,0.546666666666667,0.693333333333333
9,BMITD1,0.64,0.64,0.61,0.645,0.6,0.6,0.625,0.66,0.63,0.605,0.665,0.585,0.66,0.685,0.69,0.565,0.665,0.61,0.705,0.69,0.64,0.48,0.69,0.655,0.545,0.73,0.655,0.53,0.7,0.675,0.705,0.605,0.75,0.62,0.625,0.675,0.605,0.63,0.665,0.635,0.59,0.655,0.62,0.65,0.59,0.495,0.565,0.665,0.7,0.615
10,BMITD2,0.655,0.645,0.65,0.68,0.59,0.595,0.61,0.67,0.65,0.58,0.67,0.59,0.64,0.68,0.78,0.515,0.66,0.605,0.685,0.69,0.675,0.49,0.69,0.65,0.535,0.705,0.63,0.515,0.695,0.665,0.705,0.6,0.8,0.63,0.6,0.685,0.595,0.62,0.68,0.65,0.605,0.665,0.615,0.685,0.59,0.455,0.55,0.675,0.675,0.59
