,Method_name,Median_across_patients
1,Af,0.752
2,AS,0.7535
3,BCohF,0.928
4,BCohW,0
5,BCorrD,0.83625
6,BCorrU,0.916
7,BH2D,0.76625
8,BH2U,0.768
9,BMITD1,0.7565
10,BMITD2,0.75725
11,BMITU,0.678
12,BTED,0.74975
13,BTEU,0.789
14,COH1,0.84
15,COH2,0.768
16,DC1,0.75225
17,dDTF,0.785
18,DTF,0.752
19,ffDTF,0.75125
20,Genie,0.837
21,GGC,0.7445
22,GPDC,0.75725
23,hmvar,0.75125
24,MVAR,0.75575
25,oPDCF,0.7565
26,pCOH1,0.82
27,pCOH2,0.82
28,PCohF,0.936
29,PCohW,0
30,PCorrD,0.84225
31,PCorrU,0.762
32,PDC,0.755
33,PH2D,0.75725
34,PH2U,0.732
35,PMITD1,0.75425
36,PMITD2,0.75725
37,PMITU,0.686
38,PTED,0.7475
39,PTEU,0.7785
40,Smvar,0.766
41,Tigress,0.85525
