,sim15Sub001,sim15Sub002,sim15Sub003,sim15Sub004,sim15Sub005,sim15Sub006,sim15Sub007,sim15Sub008,sim15Sub009,sim15Sub010,sim15Sub011,sim15Sub012,sim15Sub013,sim15Sub014,sim15Sub015,sim15Sub016,sim15Sub017,sim15Sub018,sim15Sub019,sim15Sub020,sim15Sub021,sim15Sub022,sim15Sub023,sim15Sub024,sim15Sub025,sim15Sub026,sim15Sub027,sim15Sub028,sim15Sub029,sim15Sub030,sim15Sub031,sim15Sub032,sim15Sub033,sim15Sub034,sim15Sub035,sim15Sub036,sim15Sub037,sim15Sub038,sim15Sub039,sim15Sub040,sim15Sub041,sim15Sub042,sim15Sub043,sim15Sub044,sim15Sub045,sim15Sub046,sim15Sub047,sim15Sub048,sim15Sub049,sim15Sub050
1,0.848,0.856,0.784,0.848,0.856,1,0.84,0.848,0.84,1,0.856,0.848,1,0.904,0.856,0.776,0.788,0.856,0.92,0.84,0.776,0.928,0.788,1,0.936,0.912,0.84,0.912,0.928,0.848,0.928,0.84,0.84,0.856,0.936,0.84,0.928,0.928,0.848,0.912,0.78,0.844,0.928,0.864,0.84,0.856,0.936,0.84,1,1
2,0.856,0.788,0.78,0.848,0.848,1,0.84,0.848,0.84,0.86,0.852,0.864,0.924,0.908,0.848,0.768,0.776,0.92,0.92,0.84,0.788,1,0.78,0.936,0.928,0.844,0.776,0.92,0.864,0.856,0.94,0.84,0.84,0.856,0.932,0.844,0.928,0.936,0.78,0.912,0.776,0.856,0.928,0.868,0.84,0.86,0.94,0.848,1,1
3,0.822,0.828,0.816,0.822,0.8235,0.852,0.8175,0.822,0.816,0.846,0.825,0.8325,0.843,0.822,0.828,0.807,0.816,0.828,0.834,0.816,0.816,0.846,0.813,0.852,0.846,0.822,0.8145,0.834,0.84,0.828,0.8415,0.816,0.816,0.828,0.846,0.816,0.84,0.84,0.819,0.8295,0.813,0.828,0.84,0.834,0.816,0.831,0.8475,0.822,0.852,0.852
4,0.801,0.8355,0.822,0.834,0.813,0.84,0.81,0.804,0.807,0.801,0.81,0.816,0.828,0.819,0.822,0.822,0.834,0.798,0.822,0.816,0.816,0.837,0.804,0.84,0.804,0.8355,0.8145,0.822,0.828,0.822,0.816,0.81,0.822,0.84,0.837,0.834,0.84,0.84,0.816,0.828,0.801,0.816,0.816,0.819,0.834,0.816,0.84,0.822,0.852,0.846
5,0.84,0.834,0.822,0.846,0.8355,0.852,0.828,0.84,0.819,0.846,0.84,0.846,0.852,0.822,0.843,0.828,0.834,0.834,0.834,0.825,0.828,0.8225,0.825,0.852,0.849,0.828,0.828,0.834,0.84,0.828,0.852,0.816,0.84,0.84,0.852,0.828,0.84,0.852,0.834,0.828,0.816,0.834,0.84,0.852,0.822,0.831,0.8535,0.831,0.852,0.852
6,0.801,0.828,0.825,0.8475,0.81,0.84,0.81,0.7745,0.81,0.804,0.819,0.816,0.828,0.798,0.825,0.822,0.84,0.81,0.816,0.816,0.822,0.828,0.807,0.846,0.804,0.84,0.816,0.816,0.84,0.825,0.822,0.81,0.8235,0.84,0.837,0.834,0.828,0.834,0.819,0.834,0.798,0.816,0.816,0.804,0.828,0.816,0.8415,0.816,0.849,0.846
7,0.843,0.834,0.828,0.846,0.834,0.852,0.834,0.84,0.825,0.852,0.84,0.8505,0.852,0.828,0.846,0.828,0.834,0.834,0.834,0.837,0.828,0.852,0.828,0.852,0.852,0.828,0.7985,0.834,0.846,0.846,0.852,0.816,0.852,0.849,0.852,0.834,0.852,0.852,0.84,0.7985,0.819,0.843,0.846,0.852,0.822,0.831,0.852,0.834,0.852,0.8535
8,0.804,0.834,0.8045,0.846,0.837,0.846,0.816,0.831,0.81,0.825,0.828,0.834,0.837,0.81,0.846,0.828,0.852,0.813,0.822,0.834,0.822,0.84,0.816,0.8225,0.816,0.834,0.7925,0.8045,0.846,0.828,0.822,0.816,0.84,0.852,0.852,0.846,0.84,0.846,0.84,0.834,0.801,0.819,0.819,0.807,0.84,0.816,0.852,0.822,0.852,0.846
9,0.936,1,0.932,1,0.936,1,1,1,1,1,1,1,1,0.94,1,0.928,0.936,0.928,0.932,1,0.928,1,0.924,1,1,0.928,0.94,1,1,1,1,1,1,1,1,1,1,1,0.936,0.908,1,1,1,1,1,0.936,1,0.928,1,1
10,0.846,0.837,0.834,0.846,0.8355,0.852,0.834,0.84,0.828,0.846,0.84,0.852,0.852,0.828,0.846,0.828,0.834,0.834,0.834,0.831,0.84,0.8225,0.828,0.852,0.852,0.831,0.831,0.8105,0.846,0.846,0.8535,0.7865,0.852,0.843,0.852,0.834,0.843,0.852,0.84,0.828,0.816,0.84,0.852,0.852,0.834,0.834,0.8535,0.834,0.852,0.852
